전체 카테고리 성장률 순위:
====================================
Rank 40: {'대카테고리': '유아동패션', '중카테고리': '여아', '소카테고리': '잡화', '세부카테고리': '시계', 'total': 7, 'recent_sum': 6, 'older_sum': 1, 'growth_rate': 6.0, 'final_score': 49.0, 'rank': 40}
Rank 41: {'대카테고리': '출산/유아동', '중카테고리': '이유용품/유아식기', '소카테고리': '빨대컵/유아컵', '세부카테고리': '유아컵홀더', 'total': 6, 'recent_sum': 6, 'older_sum': 0, 'growth_rate': 6, 'final_score': 42, 'rank': 41}
Rank 42: {'대카테고리': '출산/유아동', '중카테고리': '유아가구/인테리어', '소카테고리': '유아의자/소파', '세부카테고리': '유아소파', 'total': 6, 'recent_sum': 6, 'older_sum': 0, 'growth_rate': 6, 'final_score': 42, 'rank': 42}
Rank 43: {'대카테고리': '주방용품', '중카테고리': '컵/텀블러/와인용품', '소카테고리': '와인용품', '세부카테고리': '와인셀러', 'total': 7, 'recent_sum': 6, 'older_sum': 1, 'growth_rate': 6.0, 'final_score': 49.0, 'rank': 43}
Rank 44: {'대카테고리': '주방용품', '중카테고리': '주전자/커피/티용품', '소카테고리': '주전자/티포트', '세부카테고리': '저그/피쳐', 'total': 28, 'recent_sum': 24, 'older_sum': 4, 'growth_rate': 6.0, 'final_score': 196.0, 'rank': 44}
Rank 45: {'대카테고리': '주방용품', '중카테고리': '밀폐저장/도시락', '소카테고리': '물병/물통/텀블러', '세부카테고리': '저그/피쳐', 'total': 28, 'recent_sum': 24, 'older_sum': 4, 'growth_rate': 6.0, 'final_score': 196.0, 'rank': 45}
Rank 46: {'대카테고리': '주방용품', '중카테고리': '일회용품/종이컵', '소카테고리': '일회용장갑', '세부카테고리': '핑거냅/손가락장갑', 'total': 6, 'recent_sum': 6, 'older_sum': 0, 'growth_rate': 6, 'final_score': 42, 'rank': 46}
Rank 47: {'대카테고리': '홈인테리어', '중카테고리': '싱글하우스', '소카테고리': '의자/소파', '세부카테고리': '스텝스툴', 'total': 6, 'recent_sum': 6, 'older_sum': 0, 'growth_rate': 6, 'final_score': 42, 'rank': 47}
Rank 48: {'대카테고리': '홈인테리어', '중카테고리': '싱글하우스', '소카테고리': '화장대', '세부카테고리': '미니화장대', 'total': 6, 'recent_sum': 6, 'older_sum': 0, 'growth_rate': 6, 'final_score': 42, 'rank': 48}
Rank 49: {'대카테고리': '홈인테리어', '중카테고리': '수예/수선', '소카테고리': '가죽공예', '세부카테고리': 'DIY패키지', 'total': 6, 'recent_sum': 6, 'older_sum': 0, 'growth_rate': 6, 'final_score': 42, 'rank': 49}
Rank 50: {'대카테고리': '홈인테리어', '중카테고리': '수예/수선', '소카테고리': 'DIY 패키지', '세부카테고리': '가죽공예', 'total': 6, 'recent_sum': 6, 'older_sum': 0, 'growth_rate': 6, 'final_score': 42, 'rank': 50}
Rank 51: {'대카테고리': '가전디지털', '중카테고리': 'TV/영상가전', '소카테고리': 'TV 액세서리', '세부카테고리': '안테나', 'total': 6, 'recent_sum': 6, 'older_sum': 0, 'growth_rate': 6, 'final_score': 42, 'rank': 51}
Rank 52: {'대카테고리': '가전디지털', '중카테고리': '냉장고', '소카테고리': '전용냉장고', '세부카테고리': '와인셀러', 'total': 7, 'recent_sum': 6, 'older_sum': 1, 'growth_rate': 6.0, 'final_score': 49.0, 'rank': 52}
Rank 53: {'대카테고리': '스포츠/레저', '중카테고리': '라켓스포츠', '소카테고리': '테니스', '세부카테고리': '테니스 공 보관함', 'total': 6, 'recent_sum': 6, 'older_sum': 0, 'growth_rate': 6, 'final_score': 42, 'rank': 53}
Rank 54: {'대카테고리': '완구/취미', '중카테고리': '보드게임', '소카테고리': '바둑/체스/윷놀이', '세부카테고리': '윷놀이', 'total': 7, 'recent_sum': 6, 'older_sum': 1, 'growth_rate': 6.0, 'final_score': 49.0, 'rank': 54}
Rank 55: {'대카테고리': '문구/오피스', '중카테고리': '카드/엽서/봉투', '소카테고리': '엽서', '세부카테고리': '디자인패턴엽서', 'total': 6, 'recent_sum': 6, 'older_sum': 0, 'growth_rate': 6, 'final_score': 42, 'rank': 55}
Rank 56: {'대카테고리': '홈인테리어', '중카테고리': '원예/가드닝', '소카테고리': '화분/화병', '세부카테고리': '화분정리대', 'total': 60, 'recent_sum': 51, 'older_sum': 9, 'growth_rate': 5.666666666666667, 'final_score': 400.0, 'rank': 56}
Rank 57: {'대카테고리': '식품', '중카테고리': '면/통조림/가공식품', '소카테고리': '참치/햄/통조림', '세부카테고리': '옥수수/콩 통조림', 'total': 13, 'recent_sum': 11, 'older_sum': 2, 'growth_rate': 5.5, 'final_score': 84.5, 'rank': 57}
Rank 58: {'대카테고리': '자동차용품', '중카테고리': '부품/안전/공구', '소카테고리': '안전삼각대/소화기', '세부카테고리': '차량용소화기', 'total': 26, 'recent_sum': 22, 'older_sum': 4, 'growth_rate': 5.5, 'final_score': 169.0, 'rank': 58}
Rank 59: {'대카테고리': '문구/오피스', '중카테고리': '미술/화방용품', '소카테고리': '지류/스케치북', '세부카테고리': '스케치북', 'total': 117, 'recent_sum': 99, 'older_sum': 18, 'growth_rate': 5.5, 'final_score': 760.5, 'rank': 59}
Rank 60: {'대카테고리': '식품', '중카테고리': '수산물/건어물', '소카테고리': '생선알', '세부카테고리': '곤이', 'total': 19, 'recent_sum': 16, 'older_sum': 3, 'growth_rate': 5.333333333333333, 'final_score': 120.33333333333333, 'rank': 60}
Rank 61: {'대카테고리': '헬스/건강식품', '중카테고리': '샐러드/닭가슴살', '소카테고리': '닭가슴살/구운계란', '세부카테고리': '닭가슴살/안심', 'total': 19, 'recent_sum': 16, 'older_sum': 3, 'growth_rate': 5.333333333333333, 'final_score': 120.33333333333333, 'rank': 61}
Rank 62: {'대카테고리': '홈인테리어', '중카테고리': '욕실용품', '소카테고리': '욕실보수용품', '세부카테고리': '타일', 'total': 44, 'recent_sum': 37, 'older_sum': 7, 'growth_rate': 5.285714285714286, 'final_score': 276.57142857142856, 'rank': 62}
Rank 63: {'대카테고리': '홈인테리어', '중카테고리': '셀프인테리어', '소카테고리': '폼블럭/타일/벽돌', '세부카테고리': '타일', 'total': 44, 'recent_sum': 37, 'older_sum': 7, 'growth_rate': 5.285714285714286, 'final_score': 276.57142857142856, 'rank': 63}
Rank 64: {'대카테고리': '완구/취미', '중카테고리': 'DIY', '소카테고리': '퀼트DIY', '세부카테고리': '퀼트재료', 'total': 264, 'recent_sum': 222, 'older_sum': 42, 'growth_rate': 5.285714285714286, 'final_score': 1659.4285714285713, 'rank': 64}
Rank 65: {'대카테고리': '생활용품', '중카테고리': '건강/의료용품', '소카테고리': '자세교정/보호대', '세부카테고리': '의료용압박스타킹', 'total': 25, 'recent_sum': 21, 'older_sum': 4, 'growth_rate': 5.25, 'final_score': 156.25, 'rank': 65}
Rank 66: {'대카테고리': '남성패션', '중카테고리': '의류', '소카테고리': '스포츠의류', '세부카테고리': '비치웨어', 'total': 6, 'recent_sum': 5, 'older_sum': 1, 'growth_rate': 5.0, 'final_score': 36.0, 'rank': 66}
Rank 67: {'대카테고리': '남성패션', '중카테고리': '가방/잡화', '소카테고리': '해외직구', '세부카테고리': '우산/우비', 'total': 5, 'recent_sum': 5, 'older_sum': 0, 'growth_rate': 5, 'final_score': 30, 'rank': 67}
Rank 68: {'대카테고리': '뷰티', '중카테고리': '뷰티소품', '소카테고리': '클렌징소품', '세부카테고리': '각질관리기', 'total': 6, 'recent_sum': 5, 'older_sum': 1, 'growth_rate': 5.0, 'final_score': 36.0, 'rank': 68}
Rank 69: {'대카테고리': '뷰티', '중카테고리': '뷰티소품', '소카테고리': '피부관리기', '세부카테고리': '각질관리기', 'total': 6, 'recent_sum': 5, 'older_sum': 1, 'growth_rate': 5.0, 'final_score': 36.0, 'rank': 69}
Rank 70: {'대카테고리': '식품', '중카테고리': '생수/음료', '소카테고리': '생수', '세부카테고리': '국산생수', 'total': 5, 'recent_sum': 5, 'older_sum': 0, 'growth_rate': 5, 'final_score': 30, 'rank': 70}
Rank 71: {'대카테고리': '식품', '중카테고리': '유제품/아이스크림', '소카테고리': '치즈', '세부카테고리': '크림치즈', 'total': 18, 'recent_sum': 15, 'older_sum': 3, 'growth_rate': 5.0, 'final_score': 108.0, 'rank': 71}
Rank 72: {'대카테고리': '식품', '중카테고리': '건강식품', '소카테고리': '영양식/선식', '세부카테고리': '환자영양식', 'total': 6, 'recent_sum': 5, 'older_sum': 1, 'growth_rate': 5.0, 'final_score': 36.0, 'rank': 72}
Rank 73: {'대카테고리': '생활용품', '중카테고리': '생활잡화', '소카테고리': '비닐/포장용품', '세부카테고리': '생활끈/포장끈', 'total': 6, 'recent_sum': 5, 'older_sum': 1, 'growth_rate': 5.0, 'final_score': 36.0, 'rank': 73}
Rank 74: {'대카테고리': '생활용품', '중카테고리': '생활잡화', '소카테고리': '기타생활용품', '세부카테고리': '효자손/죽비', 'total': 12, 'recent_sum': 10, 'older_sum': 2, 'growth_rate': 5.0, 'final_score': 72.0, 'rank': 74}
Rank 75: {'대카테고리': '가전디지털', '중카테고리': '뷰티/헤어가전', '소카테고리': '피부관리기기', '세부카테고리': '각질관리기', 'total': 6, 'recent_sum': 5, 'older_sum': 1, 'growth_rate': 5.0, 'final_score': 36.0, 'rank': 75}
Rank 76: {'대카테고리': '가전디지털', '중카테고리': 'PC주변기기', '소카테고리': '헤드셋/스피커', '세부카테고리': '사운드카드', 'total': 6, 'recent_sum': 5, 'older_sum': 1, 'growth_rate': 5.0, 'final_score': 36.0, 'rank': 76}
Rank 77: {'대카테고리': '헬스/건강식품', '중카테고리': '건강/의료용품', '소카테고리': '자세교정/보호대', '세부카테고리': '의료용압박스타킹', 'total': 24, 'recent_sum': 20, 'older_sum': 4, 'growth_rate': 5.0, 'final_score': 144.0, 'rank': 77}
Rank 78: {'대카테고리': '반려동물용품', '중카테고리': '고양이 용품', '소카테고리': '모래/화장실', '세부카테고리': '화장실매트', 'total': 39, 'recent_sum': 32, 'older_sum': 7, 'growth_rate': 4.571428571428571, 'final_score': 217.28571428571428, 'rank': 78}
Rank 79: {'대카테고리': '홈인테리어', '중카테고리': '수예/수선', '소카테고리': '원단', '세부카테고리': '패브릭원단', 'total': 271, 'recent_sum': 222, 'older_sum': 49, 'growth_rate': 4.530612244897959, 'final_score': 1498.795918367347, 'rank': 79}
Rank 80: {'대카테고리': '홈인테리어', '중카테고리': '수예/수선', '소카테고리': '가죽공예', '세부카테고리': '안감', 'total': 271, 'recent_sum': 222, 'older_sum': 49, 'growth_rate': 4.530612244897959, 'final_score': 1498.795918367347, 'rank': 80}
Rank 81: {'대카테고리': '홈인테리어', '중카테고리': '수예/수선', '소카테고리': '퀼트', '세부카테고리': '원단', 'total': 270, 'recent_sum': 221, 'older_sum': 49, 'growth_rate': 4.510204081632653, 'final_score': 1487.7551020408164, 'rank': 81}
Rank 82: {'대카테고리': '식품', '중카테고리': '건강식품', '소카테고리': '꿀/프로폴리스', '세부카테고리': '벌집꿀', 'total': 11, 'recent_sum': 9, 'older_sum': 2, 'growth_rate': 4.5, 'final_score': 60.5, 'rank': 82}
Rank 83: {'대카테고리': '주방용품', '중카테고리': '밀폐저장/도시락', '소카테고리': '도시락통/가방/찬합', '세부카테고리': '유아동도시락', 'total': 11, 'recent_sum': 9, 'older_sum': 2, 'growth_rate': 4.5, 'final_score': 60.5, 'rank': 83}
Rank 84: {'대카테고리': '스포츠/레저', '중카테고리': '수영/수상스포츠', '소카테고리': '스노클링/다이빙', '세부카테고리': '스노클/호흡기', 'total': 11, 'recent_sum': 9, 'older_sum': 2, 'growth_rate': 4.5, 'final_score': 60.5, 'rank': 84}
Rank 85: {'대카테고리': '헬스/건강식품', '중카테고리': '헬스/요가용품', '소카테고리': '유산소운동', '세부카테고리': '헬스사이클', 'total': 11, 'recent_sum': 9, 'older_sum': 2, 'growth_rate': 4.5, 'final_score': 60.5, 'rank': 85}
Rank 86: {'대카테고리': '반려동물용품', '중카테고리': '강아지 사료', '소카테고리': None, '세부카테고리': None, 'total': 16, 'recent_sum': 13, 'older_sum': 3, 'growth_rate': 4.333333333333333, 'final_score': 85.33333333333333, 'rank': 86}
